model,designer,builder,rig_type,loa,lwl,beam,draft,displacement,displacement,notes,i,mizzen_i,j,mizzen_j,p,mizzen_p,e,mizzen_e,mast_height,mizzen_mast_height,bury,bury_mizzen,mh_frac,DK_or_KL,DK_or_KL_mizzen,No_of_spreaders,no_of_spreaders_mizzen,spreader_angle,spreader_angle_mizzen,mast_section,mast_section_mizzen,boom_section,boom_section_mizzen,spin_pole_diameter,telescopic_pole_diameter,rodkicker,headsail furler,JOCKEY_P,forestay_wire_size,mizzen_forestay_wire_size,mizzen_backstay_wire_size,capshrouds_wire_size,backstay_wire_size,mizzen_capshrouds_wire_size,intermediate_shrouds_wire_size,mizzen_intermediate_wire_size,forward_lower_shrouds_wire_size,mizzen_forward_lower_shrouds_wire_size,aft_lower_shrouds_wire_size,mizzen_forward_lower_shrouds_wire_size,inner_forestay_wire_size,runner_wire_size,mizzen_runner_wire_size,baby_stay_wire_size,triatic_stay_wire_size,jumper_wire_size,mizzen_jumper_wire_size,boom_above_deck,yacht_class
BAVARIA 430 ATL,,,SL,12710,,4000,,"9,800",,,,,,,,,,,,,,,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAVARIA
BAVARIA 44,,,SL,13600,11850,4200,1910,10200,,"19/20 rig option. Runners agreed by SMAB for Owner who complained. Dia 7, 362mm above f/stay toggle pin, 87mm fwd of sail groove. Must be used with great caution.",,,4750,,,,5500,,18096,,,,FR & MH,DK,,2,,,,E237,,200 (250 F,,99,,,,,,,,10,7,,8,,,,12,,,,,,,,,,BAVARIA
BAY OF ISLANDS 44,,,KT,14500,,3990,,16500,,,,,,,14326,10060,4724,3150,16002,11252,,,MH,DK,,2,1,,,E239,177/124,162,111/75,,,,,,10,,6,10,2x8,8,8,,10,7,10,8,8,8,,,6,,,,BAY OF ISLANDS
BEAGLE,,,SL/CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,BEAGLE
BELLIURE 39 FRA,,,SL,12500,,3660,,69OO,,,,,,,,,,,,,,,,,,,,,,,,189,,96,,2,10C x 17.9,,,,,,,,,,,,,,,,,,,,,,BELLIURE
BELLIURE 39 MHD,,,SL,12500,,3660,,6900,,,15011,,4508,,16002,,5435,,14685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BELLIURE
BENETEAU 32f5,,,SL,9900,,3300,,,,,11020,,3200,,12060,,4110,,13085,,,,,,,,,17d AFT,,,,143,,,,,6,,6,,,7,4,,6,,,,7,,,,,,,,,,BENETEAU
BENETEAU 345,,,SL,10500,,3500,,,,,12960,,3930,,10880,,3675,,12570,,,,,,,,,,,,,128,,,,,8,,8,,,8,8,,6,,8,,8,,,,,,,,,,BENETEAU
BENETEAU 35s7,,,SL,10540,9470,3800,1850,5288,1696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BENETEAU
BISCAY 32,,,SL,9550,,2921,,4900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BISCAY
BISCAY 36,,,KT/CT,10947,,3276,,7000,,Spreader length; 1200,12115,,4115,,10363,6401,3962,2311,11963,8712,,,MH,DK,,1,,,10AFT,E189,138/95,128,85/58,84,,,,,8,5,,8,8,6,,,8,6,8,6,8,7,6,,,5,,2829,BISCAY
CROMARTY 36,,,KT,11000,8690,3660,1500,9500,3500,TSL; 800. BSL; 1100.,,,3200,,10515,,3810,2591,12220,8534,,,MH,DK,,2,,7,30AFT,F212,E138,B143,85/54,S072,,1,8C x 15.5,,8,2x7 SPAN,2x5,8,8,6,,,10,6,10,6,,,,,5,,,1305,CROMARTY
BLUE WATER 58,,,SCHOONER,17681,,,,,,,,,,,,,,,14150FWD,,,,MH,DK,,1 1,1,30A 30A,30AFT,E237(FR) E,,128,162/125,96,,1,,,10,10,10,"10FWD, 10A",-F   10AFT,10,,,,,"12FWD, 12A",12,"12FWD, 12A","10FWD, 10A",10,,10,,,,BLUE WATER
BOBCAT 10METRE,,,SL,,,,,,,,,,,,,,,,11735,,,,MH,DK,,1,,12 AFT,,6746,,4027,,,,,,,6,,,6,2x6,,,,,,6,,6,,,,,,,,BOBCAT
