model,designer,builder,rig_type,loa,lwl,beam,draft,displacement,displacement,notes,i,mizzen_i,j,mizzen_j,p,mizzen_p,e,mizzen_e,mast_height,mizzen_mast_height,bury,bury_mizzen,mh_frac,DK_or_KL,DK_or_KL_mizzen,No_of_spreaders,no_of_spreaders_mizzen,spreader_angle,spreader_angle_mizzen,mast_section,mast_section_mizzen,boom_section,boom_section_mizzen,spin_pole_diameter,telescopic_pole_diameter,rodkicker,headsail furler,JOCKEY_P,forestay_wire_size,mizzen_forestay_wire_size,mizzen_backstay_wire_size,capshrouds_wire_size,backstay_wire_size,mizzen_capshrouds_wire_size,intermediate_shrouds_wire_size,mizzen_intermediate_wire_size,forward_lower_shrouds_wire_size,mizzen_forward_lower_shrouds_wire_size,aft_lower_shrouds_wire_size,mizzen_forward_lower_shrouds_wire_size,inner_forestay_wire_size,runner_wire_size,mizzen_runner_wire_size,baby_stay_wire_size,triatic_stay_wire_size,jumper_wire_size,mizzen_jumper_wire_size,boom_above_deck,yacht_class
FENIX MAXI HYV.,,,SL,,,,,,,SL; 950.,,,3100,,10000,,3600,,11200,,,,FR,DK,,1,,26,,C156,,B120,,S060,,,105,,5,,,6,4,,,,,,6,,,,,,,,,950,
FAYD 30 MH CONV,,,SL,9140,,3270,1700,3200,1300,TSL; 650. BSL; 800.,,,3400,,11500,,4600,,14690,,1900,,MH,KL,,2,,17,,C175,,B143,,S060,,,206,,6,,,6,6,,5,,,,7,,5,,,,,,,1040,
FAURBY 363 DE LUXE F,,,SL,10980,,3300,1850,5700,2300,TSL; 700. BSL; 1000. Rig dimensions based on clients RM. Sail may not be fully fulred into sail compartment Emax rec. 4400. Checkstays/runners optional for sail performance.,,,3850,,13700,,4500,,16980,,1880,,FR,KL,,2,,13,,F212,,B171,,S084,,,208,,8,,,8,7,,6,,,,10,,,,,,,,,1000,
CONTESSA 31 (2005),,,SL,9753,,2895,1767,4309,2000,SL; 850. Optional section: C170.,,,3860,,9750,,3050,,12965,,1865,,MH,KL,,1,,1,,C193,,B120,,S072,,,207,,7,,,7,7,,6,,6,,,,,,,,,,,1100,
CONTESSA 32 CONV,,,SL,,,,,,,SL; 900. I/F stay deleted.,,,3600,,9750,,3200,,12940,,1940,,MH,KL,,1,,0,,C170,,B120,,S072,,,207,,7,,,7,7,,,,7,,7,,,,,,,,,1000,
CONTESSA 32 FH=12000,,,SL,9750,,2890,1670,4360,2090,SL; 1050.,,,3860,,10660,,3040,,13870,,1870,,MH,KL,,1,,0,,C177,,B143,,S072,,,207,,7,,,7,7,,,,7,,7,,,,,,,,,1028,
CONTESSA MCG 27,,,SL,8231,,3000,1650,2608,886,SL; 1000,,,3400,,9970,,3650,,11230,,,,FR,DK,,1,,18,,C138,,B120,,S060,,,105,,5,,,5,4,,,,,,5,,,,,,,,,1010,
CONTEST 29 FURL,,,SL,9000,,2800,1450,4200,1300,SL; 1100,,,3400,,9000,,3150,,10350,,,,MH,DK,,1,,0,,F190,,B120,,S060,,,206,,6,,,6,6,,,,6,,6,,,,,,,,,950,
CONTEST 34 C S,,,SL,10200,,3550,1900,6000,2700,TSL; 650. BSL; 950.,,,3550,,13280,,4980,,16270,,1700,,FR,KL,,2,,1,,C193,,B171,,S072,,,208,,8,,,8,5,,6,,,,8,,,,,,,6,,1040,
CONTEST 44 (04) F,,,SL,13300,,4100,1900,13300,4900,TSL; 1050. MSL; 1550. BSL: 1800 R. Section selection due to longitudinal stability.,,,4850,,17500,,5230,,21375,,1800,,FR,KL,,3,,21,,F265,,B200,,S099,,,310,,10,,,10,10,,"6, 8",,,,10,,,,,,,,,1575,
CONTEST 44 2SPR (04),,,SL,14695,,4100,1900,13300,4200,TSL; 1250. BSL; 1700. Mast movement in seaway is greater than on a keelstepped mast.,,,4850,,17500,,5230,,19325,,,,FR,DK,,2,,22,,C285,,B200,,S099,,,310,,10,,,10,8,,8,,,,12,,,,,,,,,1575,
CONTEST 44 2SPR (04),,,SL,14695,,4100,1900,13300,4200,TSL; 1000. BSL; 1450.,,,4850,,17500,,5230,,21125,,1800,,FR,KL,,2,,21,,C285,,B200,,S099,,,310,,10,,,12,8,,8,,,,12,,,,,,,,,1575,
CONTEST 44 3SPR (04),,,SL,14695,,4100,1900,13300,4200,TSL; 1050. MSL; 1550. BSL; 1800.,,,4850,,17500,,5230,,21125,,1800,,FR,KL,,3,,21,,C264,,B200,,S099,,,310,,10,,,10,8,,"6, 8",,,,10,,,,,,,,,,
CONTEST 44 CS (04) C,,,SL,13300,,4100,1900,15500,5200,TSL; 950. BSL; 1300. Cutterstay/runners optional.,,,4850,,15750,,5400,,17550,,,,MH,DK,,2,,5,,C304,,B200,,S099,,,412,,12,,,12,12,,10,,12,,12,,,,,,,,,1550,
CONTEST 44 CS (00) C,,,SL,13300,,4100,1900,15500,5200,TSL; 100. BSL; 1300. Cutterstay/runners optional,,,4850,,15570,,5400,,17550,,,,MH,DK,,2,,5,,C274,,B200,,S099,,,412,,12,,,12,12,,10,,12,,12,,,,,,,,,1700,
CONTEST 44 3SPR (00),,,SL,13300,,4100,1900,15500,5200,TSL; 800. MSL; 1200. BSL; 1350. Cutterstay/runner compulsory.,,,4850,,15600,,5400,,17550,,,,MH,DK,,3,,5,,C237,,B200,,S099,,,412,,12,,,12,12,,"8, 10",,12,,12,,10,,,,,,,1700,
CONTEST 44 CS (00) F,,,SL,13300,,4100,1900,15500,5200,TSL; 100. BSL; 1300. Cutterstay/runners optional.,,,4850,,15760,,5400,,17810,,,,MH,DK,,2,,5,,F305,,B200,,S099,,,412,,12,,,12,12,,10,,12,,12,,,,,,,,,1550,
CONTEST 44 CS (00) F,,,SL,13300,,4100,1900,15500,5200,TSL; 800. MSL; 1150. BSL; 1300. Cutterstay/runners recommended in rough weather. Fittings compulsory.,,,5450,,15440,,5450,,17650,,,,MH,DK,,3,,8,,F290,,B200,,,,,412,,12,,,12,12,,"8, 10",,12,,12,,10,,,,,,,1700,
CONTEST 65 C PREL,,,SL,19800,,5520,2900,26500,10500,TSL; 1200 V65. MSL; 1700 V65. BSL; 1900 V65R. No boom option available./ Given chainplate positions are minimum for longitudinal staying.,,,7950,,24300,,8400,,28600,,2100,,FR,KL,,3,,20,,C365,,,,,,,516,,16,,,16,12,,"10, 12",,,,16,,,,,,,,,1900,
CONTEST 65 F PREL,,,SL,19800,,5520,2900,26500,10500,TSL; 1200 V65. MSL; 1700 V65. BSL; 1900 V65R. No boom option available./ Given chainplate positions are minimum for longitudinal staying.,,,7950,,24300,,8400,,28800,,2100,,FR,KL,,3,,20,,F370,,,,,,,516,,16,,,16,12,,"10, 12",,,,16,,,,,,,,,1900,
CORACLE 13 CONV,,,SL,13000,,4200,1500,12000,5100,TSL; 1050. BSL; 1500. Please confirm chainplates locations. Inner forestay compulsory I/F stay added 1800. Babystay deleted.,,,4675,,15430,,5300,,17245,,,,MH,DK,,2,,21,,C237,,B200,,S099,,,412,,12,,,10,12,,8,,,,10,,8,,,,,,,1565,
CORBIN 39 F,,,SL,11890,,3910,1650,11120,4860,TSL; 1100. BSL; 1500.,,,5550,,13320,,4880,,15240,,,,MH,DK,,2,,1,,F265,,B171,,S099,,,310,,10,,,10,10,,8,,10,,10,,,,,,,,,1520,
CORBY 29,,,SL,8900,,2850,2050,2650,1350,TSL; 850. BSL; 1150. 18 deg spreader weep on SMAB suggestion. Optional carbon section: CC154-36-01 with no checkstays and 10 deg sweep angle./NJ,,,3700,,11600,,4000,,13810,,1160,,FR,KL,,2,,19,,C156,,B143,,S072,,,206,,6,,,6,5,,5,,,,7,,,,,,,,,800,
CORBY 33,,,SL,10050,,3100,2200,3900,1150,TSL; 600. BSL; 800.,,,4000,,12300,,4500,,15550,,1900,,FR,KL,,2,,11,,C175,,B143,,S072,,,206,,6,,,6,5,,5,,,,7,,,,,,,,,1100,
DEHLER 29 COV (05),,,SL,8750,,2990,1580,3000,1120,TSL; 650. BSL; 950,,,3150,,11200,,4100,,12270,,,,FR,DK,,2,,26,,C156,,B120,,S060,,,106,,6,,,6,5,,4,,,,6,,,,,,,,,820,
DEHLER 25 CONV (05),,,SL,7500,,2540,1500,2100,760,SL; 800.,,,2750,,9970,,3700,,11045,,,,FR,DK,,1,,17,,C156,,B120,,S048,,,105,,5,,,6,4,,,,,,6,,,,,,,,,825,
FAST 395 CONV,,,SL,12000,,3800,1850,8000,2700,TSL; 800. BSL; 1100. Either cutterstay/runners or inner forestay/checkstay must be used.,,,4620,,14130,,4350,,17810,,1930,,MH,KL,,2,,1,,C245,,B171,,S096,,,310,,10,,,8,10,,7,,,,10,,7,,,,,,,1500,
FARR 36 CONV,,,SL,10970,,3070,1880,4615,1900,TSL; 850. BSL; 1200.,,,3850,,14740,,5450,,17667,,1640,,FR,KL,,2,,30,,C193,,B171,,S072,,,207,,7,,,7,5,,5,,,,8,,,,,,,,,1037,
FANTASI 44 PILOT F05,,,SL,13700,,4040,2050,14000,4380,TSL; 1000. BSL; 1400. Inner forestay/checkstays optional for sail performance. 12mm Dynema accepted as IF if chainplate is located min 4300mm forward of mast.,,,5250,,16400,,5500,,20430,,2060,,MH,KL,,2,,16,,F286,,B200,,S099,,,412,,12,,,10,12,,8,,12,,12,,7,,,,,,,,
FULL PELT,,,SL,11000,,3750,2800,1930,800,"TSL; 950. BSL; 1300 R. Non std panels due to ""extra"" lower shrouds at 2900mm.",,,4725,,14650,,5000,,16050,,,,FR,DK,,2,,28,,C193,,B171,,S084,,,207,,7,,,7,5,,5,,,,8,,,,,,,5,,1150,
FRIENDSHIP 28 C FH,,,SL,8200,,2850,1600,3400,1200,"SL; 800. Optional C193 section, babystay required, no checkstays.",,,,,9220,,2950,,10300,,,,MH,DK,,1,,0,,C170,,B120,,,,,106,,6,,,6,6,,,,,,7,,4,,,,,,,830,
FRIENDSHIP 28 (05),,,SL,8750,,2850,1200,3500,1200,SL; 750.,,,,,8950,,2850,,10050,,,,MH,DK,,1,,4,,C193,,B120,,,,,106,,6,,,6,6,,,,,,6,,5,,,,,,,850,
FRIENDSHIP 22 (OLD),,,SL,,,,,,,SL; 700. Calculation is based on designers RM,,,,,7800,,1550,,8640,,,,FR,DK,,1,,17,,8300,,B086,,,,,104,,4,,,5,4,,,,,,5,,,,,,,,,590,
GENISIS 43 CONV,,,SL,12600,,4020,2200,8900,3300,TSL; 850. BSL; 1250. Cutterstay optional.,,,4540,,14930,,5860,,18520,,2040,,MH,KL,,2,,9,,C285,,B171,,S096,,,310,,10,,,10,10,,8,,,,10,,8,,,,,,,1300,
HARLEY C 25,,,SL,7620,,2500,1800,2100,1200,TSL; 500. BSL; 650.,,,3200,,9700,,3600,,12367,,1457,,FR,KL,,2,,14,,C138,,B120,,S060,,,106,,6,,,6,5,,5,,,,7,,,,,,,,,960,
GOLDEN SHAM.30 TAKE5,,,SL,9300,,3200,1828,4000,1400,SL; 900. NMP section preferanble due to longitudinal stiffness. Optional section C177 is substabtially heavier.,,,3430,,9985,,3070,,13110,,1920,,MH,KL,,1,,900,,C193,,B120,,S060,,,106,,6,,,6,6,,,,,,6,,,,,,,,,930,
GOLDEN HIND 31 CONV,,,SL,9600,,2740,1110,5260,2200,SL; 1200.,,,,,10590,,4500,,11580,,,,MH,DK,,1,,0,,C189,,B143,,,,,207,,7,,,7,7,,,,10,,10,,,,,,,,,740,
GLOBAL MATCH R C193,,,SL,12000,,2300,2100,3700,2500,"TSL; 700. BSL; 950. Tapered length=2000mm. SPL=4200, J=4000. Headbox crane length 750mm, 15deg. Wire backstay, bridle with stops for limited mast bend. Stud-toggle Bronze R-screws. No profile on forestay, R-screw on forestay on first rig. Rodkick,gasspring, 1:16 purchase on kicker. Customer boom, 2 fixed spinpole eyes. Halyard loads; Main:>4.1kN, Genoa:3kN. Rodkick 20. Spinnaker to be hoisted to forestay.",,,4000,,13500,,4200,,16080,,1170,,FR,KL,,2,,19,,C193,,B143,,S084,,,207,,7,,,8,4,,6,,,,8,,,,,,,,,1160,
HARDIN 45 MIZZEN,,,KT,13790,,4060,1670,14060,3860,SL; 1300. Triatic stay o5mm replacing o7mm forestay.,,,,,6840,,3050,,7,,,,MH,DK,,1,,13,,C155,,B120,,,,,207,,7,,,6,7,,,,7,,7,,,,,,,,,1140,
HARDIN 45 KT MAIN,,,KT,13790,,4060,1670,14060,3860,TSL; 1200. BSL; 1600. Double backstay o8mm,,,,,12900,,4610,,14600,,,,MH,DK,,2,,1,,C206,,B171,,,,,310,,10,,,10,10,,7,,10,,10,,,,,,,,,1450,
HANS CHRISTIAN 33 C,,,SL,9980,,3550,1670,8391,3400,SL; 1500. FH changed to match P+BH. Note boom overlength. Cutterstay/runners optional.,,,6000,,12000,,4250,,13340,,,,MH,DK,,1,,1,,C237,,B171,,S099,,,310,,10,,,8,10,,,,8,,8,,,,,,,,,1090,
HAKU 43 CONV,,,SL,13420,,3960,2000,8500,3600,"TSL; 1200. BSL; 1650. Dyform in D1A & D1F. Cutterstay/runners optional, but runners required if cutterstay is used.",,,5150,,16500,,6150,,17850,,,,FR,DK,,2,,15,,C264,,B200,,S099,,,310,,10,,,10,8,,7,,10,,10,,,,,,,,,1100,
GULFSTAR 50 MAIN,,,KT,8200,,3120,3500,15880,5600,SL; 850. Babystay optional. Selden mast do not take any responsibility for accordance with class rule. 120-boom ok if S-measure is not less than 1750mm. L=850 due to class rules (centreline mast to shroud max 920mm),,,3700,,10000,,3000,,13000,,1900,,MH,KL,,1,,1,,C193,,B143,,S072,,,206,,6,,,6,6,,,,,,6,,,,,6,,,,850,
GRAND SOLIEL 34 OST.,,,SL,10200,,3430,1850,4600,1600,TSL; 750. BSL; 1050. P changed to match FH.,,,3200,,11850,,3400,,13380,,,,MH,DK,,2,,1,,C211,,B143,,S072,,,,,7,,,7,7,,6,,7,,7,,,,,,,,,1280,
GRANDA 31 CONV,,,SL,9300,,3100,1800,4200,1700,TSL; 600. BSL; 850.,,,3180,,11300,,3180,,12250,,,,MH,DK,,2,,1,,C175,,B120,,,,,206,,6,,,6,6,,5,,6,,6,,,,,,,,,700,
GRANDA 27,,,SL,,,,,,,SL; 750. Fh changed to match P+BH,,,2600,,9500,,2600,,10320,,,,MH,DK,,1,,1,,C138,,B086,,,,,105,,5,,,5,5,,,,5,,5,,,,,,,,,570,
GRANDA 23 NORDMARK,,,SL,7020,,2300,1450,1700,830,SL; 800.,,,,,9100,,2580,,10030,,,,FR,DK,,1,,19,,C122,,B086,,,,,104,,4,,,5,4,,,,,,5,,,,,,,,,680,
GOZZARD 44 MIZZEN,,,SL,15240,,4270,1600,12700,4536,SL; 1500. O5mm triatic stay at same height as mizzen stay no backstay. O6mm stay for mizzen staysail & runners are optional. Optional section: F213.,,,,,10135,,3150,,12645,,,,FR,DK,,1,,28,,F194,,B120,,,,,206,,6,,,7,5,,,,,,6,,,,,,,,,2110,
GOZZARD 44 FURL FH=,,,SL,15240,,4270,1600,12700,4536,"TSL; 1200. BSL; 1800. Double backstay o8mm ok. Aft intermediates o10mm replacing runners. 20041203: section changed to NMP, was F260,/NJ.",,,,,15670,,5485,,17320,,,,MH,DK,,2,,0,,F286,,B171,,,,,310,,10,,,10,10,,8,,10,,10,,,,,,,,,1245,
HELSMAN 35 FURL,,,SL,10530,,3520,1840,4500,2200,TSL; 900. BSL; 1200. T-base needs to be moved aft to agree with chainplate positions.,,,4150,,13400,,3700,,14890,,,,FR,DK,,2,,30,,F212,,B143,,S084,,,207,,7,,,8,6,,6,,,,8,,,,,,,,,1090,
HELMSMAN 26,,,SL,8000,,2800,1450,2250,830,TSL; 550. BSL; 700.,,,3050,,9300,,2500,,10090,,,,MH,DK,,2,,1,,C130,,B086,,S048,,,105,,5,,,5,5,,4,,,,6,,4,,,,,,,540,
HERMINE 47 C 04H 3S,,,SL,14500,,4630,1750,15000,5400,TSL; 750. MSL; 1100. BSL; 1250.,,,,,16420,,6120,,17470,,,,MH,DK,,3,,1,,C264,,B200,,,,,412,,12,,,12,12,,"8, 10",,12,,12,,,,,,,,,800,
HERMINE 47 C 04H 2S,,,SL,14500,,4630,1750,15000,5400,TSL; 950. BSL; 1250.,,,,,16420,,6120,,17470,,,,MH,DK,,2,,1,,C304,,B200,,,,,412,,12,,,12,12,,10,,12,,12,,,,,,,,,800,
HINKLEY SW 48 MAIN C,,,KT,14755,,3962,2100,16102,4762,TSL; 1100. BSL; 1600.,,,5395,,14905,,5185,,19041,,2210,,MH,KL,,2,,1,,C237,,B200,,S099,,,412,,12,,,10,12,,8,,10,,10,,,,,,,,,1676,
HR 40 MH FURL (TM),,,SL,12200,,3800,1900,,,TSL; 900 V55. BSL; 1300 V55. V45 spreaders. Cutterstay/runners optional.,,,4800,,14900,,4900,,16500,,,,FR,DK,,2,,6,,F246,,B171,,S096,,,310,,10,,,10,8,,7,,10,,10,,,,,,,,,1200,
HR 382 HG F 04 FH=,,,SL,,,3640,1830,8700,4000,TSL; 900. BSL; 1200. Cutterstay optional.,,,,,13205,,4860,,14830,,,,MH,DK,,2,,0,,F246,,B171,,,,,310,,10,,,8,10,,7,,8,,8,,,,,,,,,1220,
HG 38 HG F FH=15070,,,SL,11500,,3500,1800,8500,3500,TSL; 900. BSL; 1300.,,,4500,,13450,,4860,,15070,,,,MH,DK,,2,,1,,F246,,B171,,S096,,,310,,10,,,10,10,,7,,10,,10,,,,,,,,,1220,
HR 36 FURL (04),,,SL,,,,,,,TSL; 850. BSL; 1200. Cutterstay optional.,,,4000,,12440,,5000,,13990,,,,MH,DK,,2,,1,,F246,,B171,,S084,,,310,,10,,,10,10,,7,,10,,10,,,,,,,,,1150,
HUNTER 460 F FH=163.,,,SL,,,,,,,"TSL; 1200. BSL; 1850. B/R rig. No permanent backstay. Counter/reverse diagnals RD1=RD2=6mm (19.5). Imperial wire sizes (after agreement with hunter): D3& V2:3/8""Dyform; D2:5/16"". D1:3/8""Dyform; RD1&RD2:1/4"", F:3/8""; IF:9/32""",,,,,14770,,5850,,16345,,,,MH,DK,,2,,29,,F232,,B171,,,,,308,,8,,,10,,,8,,,,10,,,,,,,,,1170,
HUNTER 450 F FH=158.,,,SL,,,,,,,"TSL; 1400. BSL; 2100.  B/R rig. No permanent backstay. Counter/reverse diagnals RD1=RD2=6mm rscr (19.5). RD1 lower Imperial wire sizes (after agreement with hunter): D3& V2:3/8""Dyform; V1:3/8""Dyform; D2:5/16"". D1:3/8""Dyform; RD1&RD2:1/4"", F:3/8""; IF:9/32""",,,5159,,13916,,5430,,15800,,,,MH,DK,,2,,30,,F232,,B171,,S099,,,308,,8,,,10,,,8,,,,10,,,,,7,,,,1479,
HUNTER 45 LEGEND F,,,SL,14220,,4220,1700,11612,4940,"TSL; 1200. BSL; 1450. FH changed to match with P+BH. B&R rig. RD1: 6mm 7/16"" R-screw. RD1:6mm 7/16"" R-screw. RD2:6mm 7/16"" R-screw. Furlin RB. RD1 lower att. At 920. RD2 lower att at 5950. Double backstay 7mm 1/2"" R-screw.",,,5440,,15770,,5610,,17490,,,,MH,DK,,2,,33,,F265,,B200,,S099,,,310,,10,,,10,8,,10,,,,12,,,,,8,,,,1320,
HUNTER 420CC C NMP,,,SL,,,,,,,"TSL; 1300. BSL; 1850. Copied from rigdata 648. B/R rig, no permanent backstay. Imperial wire sizes (after agreement with Hunter): D3+V2:5/16""; V1:5/16""Dyform; D2:1/4""; D1:5/16"". F:5/16""; IF: 1/4""; RD1=RD2=3/16.",,,4928,,13860,,5867,,15631,,,,FR,DK,,2,,30,,C211,,B171,,S096,,,308,,8,,,8,,,6,,,,10,,,,,,,,,1521,
HUNTER 420 CC F NMP,,,SL,,,,,,,TSL; 1250. BSL; 1850 R. Rig data copied from No 667. No permanent backstay.,,,4928,,13860,,5867,,15781,,,,FR,DK,,2,,30,,F246,,B171,,S096,,,308,,8,,,8,,,6,,,,8,,,,,,,,,1521,
HUNTER 41 F SHORT,,,SL,11760,,4060,1980,9299,2767,"TSL; 1350. BSL; 1850 R. Reverse diagonals: RD1 o5mm, R-screw 5/16"", lower attachment at 700. RD2:o5, R-screw 5/16"", lower att. At 5100. Furlin RB system. No permanent backstay.",,,3965,,13430,,5950,,15250,,,,MH,DK,,2,,31,,F228,,B171,,S084,,,308,,8,,,8,,,6,,,,10,,,,,,,,,1420,
HUNTER 380 F NMP,,,SL,,,,,,,TSL; 1300. BSL; 1750. B/R rig. No permanent backstay.,,,3939,,14900,,5260,,16460,,,,FR,DK,,2,,30,,F228,,B171,,S084,,,207,,7,,,7,,,6,,,,8,,,,,,,,,1160,
HUNTER 380 F FH=144.,,,SL,,,,,,,TSL; 1300. BSL; 1750 R. B/R rig. No permanent backstay.,,,3939,,13462,,5260,,15022,,,,FR,DK,,2,,30,,F235,,B171,,S084,,,207,,7,,,7,,,6,,,,8,,,,,,,,,1160,
HUNTER 380 C NMP,,,SL,,,,,,,TSL; 1200. BSL; 1750. No permanent backstay.,,,3939,,14214,,5602,,15785,,,,FR,DK,,2,,29,,C211,,B171,,S084,,,207,,7,,,7,,,6,,,,8,,,,,,,,,1321,
HUNTER 36 C NO STRUT,,,SL,10500,,3660,1981,6772,2273,"TSL; 1200. BSL; 1600. B/R rigging, no permanent backstay.",,,4010,,13683,,4572,,15116,,,,FR,DK,,2,,30,,C193,,B171,,S084,,,206,,6,,,7,,,5,,,,8,,,,,,,,,1183,
HUNTER 35.5 CONV,,,SL,10850,,3580,1370,5720,2180,TSL; 800. BSL; 1100.,,,3710,,13440,,4340,,15020,,,,FR,DK,,2,,20,,C211,,B171,,S072,,,207,,7,,,8,6,,6,,,,8,,,,,,,,,1330,
HUNTER 33.5 FURL,,,SL,10160,,3327,1372,4990,2040,TSL; 800. BSL; 1100.,,,3556,,13500,,3750,,15000,,,,FR,DK,,2,,21,,F190,,B143,,S072,,,207,,7,,,7,4,,5,,,,7,,,,,,,,,1100,
HUNTER 30 FURL 1SPR,,,SL,9195,,3275,1195,4500,1315,"SL; 1500. Sail may not be fully furled into sail compartment, Emax rec. 3750, please confirm.",,,2970,,10185,,4545,,11791,,,,FR,DK,,1,,27,,F176,,B143,,S060,,,105,,5,,,6,,,,,,,6,,,,,,,,,1206,
HUNTER 30 FURL,,,SL,9195,,3275,1195,4500,1315,"TSL; 1050. BSL; 1400. Sail may not be fully furled into sail compartment, Emax rec. 3750, please confirm.",,,2970,,10185,,4545,,11791,,,,FR,DK,,2,,27,,F176,,B143,,S060,,,206,,6,,,6,,,4,,,,6,,,,,,,,,1206,
HUNTER 30 CONV,,,SL,9195,,3275,1195,4500,1315,TSL; 1050. BSL; 1400. Optional 1-spr C175 section.,,,2970,,9295,,3835,,10750,,,,FR,DK,,2,,27,,C156,,B143,,S060,,,206,,6,,,6,,,4,,,,6,,,,,,,,,1205,
HUNTER 30 1989,,,SL,9140,,3350,1290,4309,1720,TSL; 750. BSL; 1000.,,,3050,,12400,,3660,,14020,,,,FR,DK,,2,,18,,F190,,B143,,S060,,,206,,7,,,7,4,,5,,,,7,,,,,,,,,1220,
HUNTER 29.5 (96) SMI,,,SL,8992,,3200,1220,3040,1100,SL; 1350.,,,3150,,11075,,3750,,12665,,,,FR,DK,,1,,30,,F176,,B120,,S060,,,105,,5,,,5,4,,,,,,5,,,,,,,,,1090,
HUNTER28.5 C LARSSON,,,SL,8660,,3200,1600,3175,1361,TSL; 750. BSL; 1100,,,,,9750,,3300,,11000,,,,MH,DK,,2,,30,,C155,,B120,,,,,207,,7,,,6,7,,5,,,,6,,,,,,,,,1000,
HUDSON FORCE 50 MIZ,,,SL,15290,,4420,1830,19050,5220,SL; 1600 R. Triatic stay I sreplacing forestay. Setup as shown is accepted by client. Spreaders reinforced on panel.,,,,,9300,,3530,,11070,,,,FR,DK,,1,,28,,F213,,B143,,,,,206,,6,,,7,,,,,7,,7,,,,,,,,,1370,
HUDSON FORCE 50 F MS,,,KETCH MAIN,15290,,4420,1830,19050,5220,TSL; 1100. BSL; 1600. Double backstay 10mm.,,,,,15410,,5580,,19290,,2010,,MH,KL,,2,,6,,F265,,B200,,,,,412,,12,,,10,12,,8,,10,,10,,,,,,,,,1370,
HUBAD,,,SL,11990,,3990,1950,8800,3400,TSL; 1150. BSL; 1500.,,,4580,,16340,,4770,,17720,,,,MH,DK,,2,,1,,F265,,B171,,S096,,,310,,10,,,8,10,,7,,10,,10,,,,,,,,,980,
HR 94 C ROSEN,,,SL,,,,,,,SL; 1200.,,,3100,,9200,,3575,,10560,,,,FR,DK,,1,,2,,C155,,B143,,S060,,,207,,7,,,7,5,,,,6,,6,,,,,,,,,1110,
HR 49 MIZZEN C,,,SL,,,,,,,"SL; 1300. S not fixed. Optional section: C189. Double forestays fitted to backingplates at B-line, H=8000, o7mm wire to chainplates at lat 1300/ long 700mm. Triatic o6mm, 133-wire.",,,,,9500,,3100,,11020,,,,FR,DK,,1,,23,,C211,,B143,,,,,207,,7,,,8,6,,,,,,8,,,,,,,,,1270,
HR 49 KETCH MAIN,,,SL,,,,,,,TSL; 1050. BSL; 1500. S-measure not fixed. Optional section: C274.,,,5800,,16000,,5300,,17600,,,,MH,DK,,2,,1,,C304,,B200,,S111,,,412,,12,,,12,12,,10,,12,,12,,,,,,,,,1300,
HR 48 FURL,,,SL,15030,,4500,2300,18500,7750,"TSL; 850. MSL; 1250. BSL; 1450. Section selection due to longitudinal stability. Cutterstay optional. If cutterstay/runners are set as compulsory, section F286 can be used. O12mm backstay ok to use with headbox 501-078-06, toggle 517-026. 7/8"" V1 Rscrew ok for first 8 boats.",,,5550,,18020,,6340,,19970,,,,FR,DK,,3,,3,,F305,,B250,,S111,,,412,,12,,,12,12,,"8, 10",,12,,12,,,,,,,,,1450,
HR 42 NIEMANN,,,SL,,,,,,,TSL; 850. BSL; 1200. Cutterstay and runners are optional.,,,5000,,15300,,5000,,16900,,,,FR,DK,,2,,2,,F265,,B171,,S099,,,310,,10,,,10,8,,7,,10,,10,,,,,,,,,1200,
HR 42 FURL P=15150,,,SL,,,,,,,TSL; 900. BSL; 1300.,,,4550,,15150,,5650,,16900,,,,MH,DK,,2,,1,,F286,,B171,,S096,,,310,,10,,,10,10,,8,,10,,10,,,,,,,,,1350,
HR 41 MAIN FURL,,,KT,12500,,3600,1840,12000,3800,TSL; 1050. BSL; 1350. FH changed to match with P+BH+TOP,,,5000,,13300,,4500,,15155,,,,MH,DK,,2,,1,,F246,,B171,,S099,,,310,,10,,,8,10,,7,,10,,10,,,,,,,,,1450,
JEANNEAU ARCADIA,,,SL,9000,,3150,1640,2800,1070,TSL; 600. BSL; 850.,,,3600,,9890,,3030,,11060,,,,MH,DK,,2,,1,,C156,,B120,,S060,,,106,,6,,,6,6,,5,,,,6,,,,,,,,,920,
JEANNEAU 47 CONV,,,SL,14400,,4400,2100,12000,4070,TSL; 1000. BSL; 1350.,,,5250,,14500,,4550,,16200,,,,MH,DK,,2,,1,,C237,,B171,,S099,,,310,,10,,,10,10,,8,,,,10,,,,,8,,,,1450,
IRWIN 52 MAIN F,,,KT,15800,,4725,1625,19900,9000,TSL; 1200. BSL; 1700.,,,6660,,16305,,6400,,20460,,2150,,MH,KL,,2,,1,,F305,,B250,,S140,,,412,,12,,,12,12,,10,,12,,12,,,,,,,,,1505,
INTRO 22,,,SL,6780,,2900,1510,1250,500,SL; 800. Optional section: C122,,,2743,,8260,,2377,,9230,,,,FR,DK,,1,,19,,5034,,B086,,S048,,,105,,5,,,5,4,,,,,,5,,,,,,,,,720,
IN TIME 40 #2 FH=159,,,SL,12290,,3940,2000,7500,2800,TSL; 1150. BSL; 1650. Cutterstay optional.,,,4700,,15600,,5400,,18921,,1916,,FR,KL,,2,,24,,C227,,B200,,S096,,,308,,8,,,8,7,,6,,,,10,,,,,,,,,1155,
